Segment,Revenue_2024,Avg_margin_2020_24,EBIT_norm,NOPAT_norm,Discount_rate,EPV_segment
Powered & Liquid Beverages,24598.0,0.2074223080111616,5102.173932458553,4063.2365054562006,0.07,58046.23579223143
Water,3180.0,0.06860124701866945,218.15196551936884,173.73046112683113,0.08,2171.6307640853893
Milk Products,10397.0,0.23473627279729067,2440.553028273431,1943.5919451699015,0.075,25914.559268932022
Nutrition & Healthcare,15137.0,0.12812806230430088,1939.4744791002024,1544.5462285687393,0.08,19306.82785710924
Prepared Dishes & Cooking Aids,10711.0,0.16226374082070413,1738.006927930562,1384.1027941790203,0.08,17301.284927237753
Confectionary,8449.0,0.14370861597518778,1214.1940963743616,966.952095794274,0.08,12086.901197428424
Petcare,18882.0,0.20822045362281366,3931.618605305968,3131.037172406269,0.065,48169.802652404134
