Segment,ROIC_pre_noGW,ROIC_pre_withGW
Confect.,0.4580074214430843,0.322641978208084
MP & IC,0.6391358563733199,0.390498550673448
N & HS,0.4155328287581654,0.093894015271256
P & LB,0.7834758944095258,0.5711052740289467
PD & CA,0.5654505965864186,0.21675583457383563
PetCare,0.6289905057306254,0.18434560248133433
Water,0.20804574508459717,0.1317820917824943
