FY2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,Unallocated items ,2427,2417.0,2389.0,2184.0,2151.0,2146.0,2176.0,2088.0,2084.0,1900.0,1968.0,2015.0,1975.0,1929.0,1836.0,1678.0,1602.0,,,
,TOTAL,34907,34397.0,36488.0,34886.0,38864.0,45741.0,48053.0,52773.0,52592.0,51931.0,53656.0,55346.0,47163.0,51966.0,53844.0,50027.0,48985.0,,,
,,,,,,,,,,,,,,,,,,,,,
,TRADING PROFIT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,,,
,P & LB,4176,4185.0,4150.0,4129.0,4445.0,4649.0,4685.0,4100.0,4111.0,4319.0,4572.0,4701.0,4851.0,5406.0,5358.0,4945.0,4499.0,,,
,Water,575,633.0,513.0,520.0,636.0,678.0,710.0,796.0,906.0,915.0,603.0,667.0,522.0,257.0,241.0,161.0,259.0,,,
,MP & IC,2357,2345.0,2409.0,2251.0,2704.0,2632.0,2701.0,2471.0,2640.0,2333.0,2412.0,1678.0,2615.0,2642.0,2508.0,2601.0,2393.0,,,
,N & HS,1798,1734.0,1906.0,1820.0,1778.0,2228.0,2723.0,2909.0,2775.0,2539.0,2826.0,3092.0,2490.0,243.0,1323.0,2291.0,2771.0,,,
,PD & CA,2302,2226.0,1884.0,2016.0,2029.0,1876.0,1808.0,1724.0,1817.0,1938.0,2044.0,1857.0,2147.0,1931.0,1508.0,1849.0,2000.0,,,
,Confect. ,1619,1599.0,1443.0,1524.0,1765.0,1630.0,1344.0,1246.0,1190.0,1243.0,1291.0,1241.0,874.0,1093.0,1259.0,1231.0,1190.0,,,
,PetCare,1962,2108.0,2176.0,2008.0,2144.0,2163.0,2246.0,2386.0,2535.0,2621.0,2572.0,2741.0,3089.0,3241.0,3241.0,3862.0,4047.0,,,
,Product EBIT,14789,14830.0,14481.0,14268.0,15501.0,15856.0,16217.0,15632.0,15974.0,15908.0,16320.0,16260.0,16561.0,14813.0,15438.0,16940.0,17159.0,,,
,EBIT,13103,13083.0,12676.0,12538.0,13464.0,14047.0,14019.0,13382.0,13693.0,13277.0,13789.0,13674.0,14233.0,12159.0,13195.0,14520.0,14633.0,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,After tax ROIC excluding goodwill,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,,,
,P & LB,,,,,,,,,,,,,,,,,,,,
,Water,,,,,,,,,,,,,,,,,,,,
,MP & IC,,,,,,,,,,,,,,,,,,,,
,N & HS,,,,,,,,,,,,,,,,,,,,
,PD & CA,,,,,,,,,,,,,,,,,,,,
,Confect. ,,,,,,,,,,,,,,,,,,,,
,PetCare,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,After tax ROIC including goodwill,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,,,
,P & LB,,,,,,,,,,,,,,,,,,,,
,Water,,,,,,,,,,,,,,,,,,,,
,MP & IC,,,,,,,,,,,,,,,,,,,,
,N & HS,,,,,,,,,,,,,,,,,,,,
,PD & CA,,,,,,,,,,,,,,,,,,,,
,Confect. ,,,,,,,,,,,,,,,,,,,,
