FY2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
,,,,,,,
,,,,,,,
,Marketing expenses,,,,,,
,,,,,This includes ,In millions dollars,In CHF
,,Total Revenues (left),Op. Margin Cons. (right),Marketing expenses,Marketing expenses (% Revenue),,
,2003,82927,13.516707465602277,,,,
,2004,79366,13.799359927424842,,,,
,2005,85153,13.732927788803684,,,,
,2006,91771,13.991348029333887,,,,
,2007,100233,14.280725908632885,,,,
,2008,102364,14.447461998358799,,,,
,2009,99798,14.860017234814324,,,,
,2010,87906,16.47327827452051,,,,
,2011,83642,17.05841562851199,17395,20.796968030415343,,
,2012,89721,17.276891697595882,19688,21.943580655587876,,
,2013,92158,17.20523448859567,19711,21.38826797456542,,
,2014,91612,17.70414847161572,19651,21.450246692573025,,
,2015,88785,17.606577687672466,20744,23.364307033845808,,
,2016,89469,17.910114117739102,21485,24.01390425734053,,
,2017,89791,17.545188270539363,19818,22.071254357340937,,
,2018,91439,15.170769584094316,20003,21.875786043154452,,
,2019,92568,14.771843401607468,19790,21.378878230057904,,
,2020,84343,16,17370,20.59447731287718,,
,2021,87088,13.961739849347786,17924,20.581480801028846,,
,2022,94424,13.974201474201475,16850,17.845039396763536,,
,2023,92998,15.613238994386977,17549,18.870298285984642,,
,2024,91354,16.017908356503273,18112,19.826170720493902,,
